Ord,title,url,research
0,"Polymath proposal: upper bounding the de Bruijn-Newman constant",https://terrytao.wordpress.com/2018/01/24/polymath-proposal-upper-bounding-the-de-bruijn-newman-constant/,False
1,"Polymath15, first thread: computing H_t, asymptotics, and dynamics of zeroes",https://terrytao.wordpress.com/2018/01/27/polymath15-first-thread-computing-h_t-asymptotics-and-dynamics-of-zeroes/,True
2,"Polymath15, second thread: generalising the Riemann-Siegel approximate functional equation",https://terrytao.wordpress.com/2018/02/02/polymath15-second-thread-generalising-the-riemann-siegel-approximate-functional-equation/,True
3,"Polymath15, third thread: computing and approximating H_t",https://terrytao.wordpress.com/2018/02/12/polymath15-third-thread-computing-and-approximating-h_t/,True
4,"Polymath15, fourth thread: closing in on the test problem",https://terrytao.wordpress.com/2018/02/24/polymath15-fourth-thread-closing-in-on-the-test-problem/,True
5,"Polymath15, fifth thread: finishing off the test problem?",https://terrytao.wordpress.com/2018/03/02/polymath15-fifth-thread-finishing-off-the-test-problem/,True
6,"Polymath15, sixth thread: the test problem and beyond",https://terrytao.wordpress.com/2018/03/18/polymath15-sixth-thread-the-test-problem-and-beyond/,True
7,"Polymath15, seventh thread: going below 0.48",https://terrytao.wordpress.com/2018/03/28/polymath15-seventh-thread-going-below-0-48/,True
8,"Polymath15, eighth thread: going below 0.28",https://terrytao.wordpress.com/2018/04/17/polymath15-eighth-thread-going-below-0-28/,True
9,"Polymath15, ninth thread: going below 0.22?",https://terrytao.wordpress.com/2018/05/04/polymath15-ninth-thread-going-below-0-22/,True
10,"Polymath15, tenth thread: numerics update",https://terrytao.wordpress.com/2018/09/06/polymath15-tenth-thread-numerics-update/,True
11,"Polymath15, eleventh thread: Writing up the results, and exploring negative t",https://terrytao.wordpress.com/2018/12/28/polymath-15-eleventh-thread-writing-up-the-results-and-exploring-negative-t/,True
12,"Effective approximation of heat flow evolution of the Riemann xi function, and a new upper bound for the de Bruijn-Newman constant",https://terrytao.wordpress.com/2019/04/30/11075/,False
