Ord,title,url,research
0,"A potential new Polymath project: intransitive dice",https://gowers.wordpress.com/2017/04/28/a-potential-new-polymath-project-intransitive-dice/,True
1,"Intransitive dice II",https://gowers.wordpress.com/2017/05/12/intransitive-dice-ii/,True
2,"Intransitive dice III",https://gowers.wordpress.com/2017/05/19/intransitive-dice-iii/,True
3,"Intransitive dice IV: first problem more or less solved?",https://gowers.wordpress.com/2017/05/27/intransitive-dice-iv-first-problem-more-or-less-solved/,True
4,"Intransitive dice V: we want a local central limit theorem",https://gowers.wordpress.com/2017/05/30/intransitive-dice-v-we-want-a-local-central-limit-theorem/,True
5,"Intransitive dice VI: sketch proof of the main conjecture for the balanced-sequences model",https://gowers.wordpress.com/2017/07/25/intransitive-dice-vi-sketch-proof-of-the-main-conjecture-for-the-balanced-sequences-model/,True
6,"Intransitive dice VII — aiming for further results",https://gowers.wordpress.com/2017/08/12/intransitive-dice-vii-aiming-for-further-results/,True
