Ord,title,url,research
0,Two polymath projects,http://terrytao.wordpress.com/2012/06/04/two-polymath-projects/,False
1,Updates on the two polymath projects,http://terrytao.wordpress.com/2012/06/15/updates-on-the-two-polymath-projects/,False
2,Mini-polymath4 discussion thread,http://terrytao.wordpress.com/2012/07/12/mini-polymath4-discussion-thread/,False
3,Minipolymath4 project: IMO 2012 Q3,http://polymathprojects.org/2012/07/12/minipolymath4-project-imo-2012-q3/,True
4,"Minipolymath4 project, second research thread",http://polymathprojects.org/2012/07/13/minipolymath4-project-second-research-thread/,True
