Ord,title,url,research
0,Frankl’s union-closed conjecture — a possible Polymath project?,https://gowers.wordpress.com/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/,False
1,"FUNC1 — strengthenings, variants, potential counterexamples",https://gowers.wordpress.com/2016/01/29/func1-strengthenings-variants-potential-counterexamples/,True
2,FUNC2 — more examples,https://gowers.wordpress.com/2016/02/08/func2-more-examples/,True
3,FUNC3 — further strengthenings and variants,https://gowers.wordpress.com/2016/02/13/func3-further-strengthenings-and-variants/,True
4,FUNC4 — further variants,https://gowers.wordpress.com/2016/02/22/func4-further-variants/,True
