Ord,title,url,research
0,"Bi-invariant metrics of linear growth on the free group",https://terrytao.wordpress.com/2017/12/16/bi-invariant-metrics-of-linear-growth-on-the-free-group/,True
1,"Bi-invariant metrics of linear growth on the free group, II",https://terrytao.wordpress.com/2017/12/19/bi-invariant-metrics-of-linear-growth-on-the-free-group-ii/,True
2,"Metrics of linear growth – the solution",https://terrytao.wordpress.com/2017/12/21/metrics-of-linear-growth-the-solution/,True
3,"Homogeneous length functions on groups",https://terrytao.wordpress.com/2018/01/11/homogeneous-length-functions-on-groups/,True
