Ord,title,url,research
0,Proposal: deterministic way to find primes,http://polymathprojects.org/2009/07/27/proposal-deterministic-way-to-find-primes/,True
1,(Research thread II) Deterministic way to find primes,http://polymathprojects.org/2009/08/09/research-thread-ii-deterministic-way-to-find-primes/,True
2,(Research Thread III) Determinstic way to find primes,http://polymathprojects.org/2009/08/13/research-thread-iii-determinstic-way-to-find-primes/,True
3,(Research Thread IV) Determinstic way to find primes,http://polymathprojects.org/2009/08/28/research-thread-iv-determinstic-way-to-find-primes/,True
4,(Research thread V) Determinstic way to find primes,http://polymathprojects.org/2009/10/27/research-thread-v-determinstic-way-to-find-primes/,True
5,Deterministic way to find primes: discussion thread,http://polymathprojects.org/2009/07/28/deterministic-way-to-find-primes-discussion-thread/,False
6,Draft version of polymath4 paper,http://polymathprojects.org/2010/06/29/draft-version-of-polymath4-paper/,False
