,color,word counts,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,comments,episodes,total comments,timestamps,first,last,angle,replies (all),replies (direct),replies (own excl.),interaction degree centrality,interaction eigenvector centrality,interaction betweenness centrality,interaction closeness centrality,interaction Katz centrality,interaction page rank,interaction in-degree,interaction out-degree,cluster degree centrality,cluster eigenvector centrality,cluster betweenness centrality,cluster closeness centrality,cluster page rank
Jim Geelen,26,262.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115208'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 1)}",1.0,"[datetime.datetime(2017, 3, 7, 20, 56)]",2017-03-07 20:56:00,2017-03-07 20:56:00,128.57142857142858,0.0,0.0,0.0,0.037037037037037035,0.10029926628752561,0.0,0.0,0.16187473050229848,0.016243305218346677,0.037037037037037035,0.0,0.25925925925925924,0.08251419929086824,0.0,0.5625,0.023254442743330214
Jonathan Farley,4,355.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['comment-115059', 'comment-115085', 'comment-115107']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0)}",3.0,"[datetime.datetime(2017, 2, 24, 16, 10), datetime.datetime(2017, 2, 26, 2, 36), datetime.datetime(2017, 2, 27, 7, 31)]",2017-02-24 16:10:00,2017-02-27 07:31:00,141.42857142857144,3.0,2.0,3.0,0.1111111111111111,0.10029926628752561,0.0035612535612535613,0.26016260162601623,0.16187473050229848,0.016243305218346677,0.037037037037037035,0.07407407407407407,0.6666666666666666,0.24938954621991333,0.009971509971509971,0.75,0.04760118292892303
Juan Sebastian Lozano,6,653.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['comment-115136', 'comment-115137', 'comment-115139', 'comment-115146', 'comment-115194']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 1)}",5.0,"[datetime.datetime(2017, 3, 1, 5, 35), datetime.datetime(2017, 3, 1, 5, 41), datetime.datetime(2017, 3, 1, 5, 55), datetime.datetime(2017, 3, 1, 14, 45), datetime.datetime(2017, 3, 7, 0, 24)]",2017-03-01 05:35:00,2017-03-07 00:24:00,154.28571428571428,3.0,3.0,0.0,0.07407407407407407,3.0662591748854974e-09,0.0,0.0,0.1463664168492179,0.08365585044695371,0.037037037037037035,0.037037037037037035,0.6666666666666666,0.23183223002479383,0.030484330484330482,0.75,0.049091833500226216
Luke Pebody,17,3918.0,2.0,10.0,5.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,"['comment-115113', 'comment-115115', 'comment-115116', 'comment-115117', 'comment-115119', 'comment-115157', 'comment-115158', 'comment-115164', 'comment-115165', 'comment-115167', 'comment-115172', 'comment-115281', 'comment-115282', 'comment-115283', 'comment-115284', 'comment-115288', 'comment-115294', 'comment-115295', 'comment-115303', 'comment-115314', 'comment-115320', 'comment-115326', 'comment-115331', 'comment-115335', 'comment-115343', 'comment-115344', 'comment-115388', 'comment-115433', 'comment-115437']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 13), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 15), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 11), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 10), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 0)}",29.0,"[datetime.datetime(2017, 2, 27, 21, 47), datetime.datetime(2017, 2, 28, 6, 20), datetime.datetime(2017, 2, 28, 6, 27), datetime.datetime(2017, 2, 28, 6, 47), datetime.datetime(2017, 2, 28, 8, 48), datetime.datetime(2017, 3, 2, 20, 3), datetime.datetime(2017, 3, 2, 20, 10), datetime.datetime(2017, 3, 3, 3, 54), datetime.datetime(2017, 3, 3, 6, 42), datetime.datetime(2017, 3, 3, 7, 30), datetime.datetime(2017, 3, 4, 8, 6), datetime.datetime(2017, 3, 25, 17, 38), datetime.datetime(2017, 3, 25, 17, 43), datetime.datetime(2017, 3, 26, 16, 36), datetime.datetime(2017, 3, 26, 17, 12), datetime.datetime(2017, 3, 26, 21, 57), datetime.datetime(2017, 3, 28, 4, 59), datetime.datetime(2017, 3, 28, 6, 14), datetime.datetime(2017, 3, 28, 18, 38), datetime.datetime(2017, 3, 30, 6, 25), datetime.datetime(2017, 3, 31, 6, 25), datetime.datetime(2017, 3, 31, 18, 27), datetime.datetime(2017, 4, 1, 7, 11), datetime.datetime(2017, 4, 2, 7, 33), datetime.datetime(2017, 4, 4, 4, 28), datetime.datetime(2017, 4, 4, 4, 50), datetime.datetime(2017, 4, 10, 14, 26), datetime.datetime(2017, 4, 20, 17, 12), datetime.datetime(2017, 4, 21, 7, 16)]",2017-02-27 21:47:00,2017-04-21 07:16:00,167.14285714285714,61.0,27.0,45.0,0.4074074074074074,0.35319411545528817,0.056505223171889836,0.49612403100775193,0.25835819549607386,0.05238066287398455,0.18518518518518517,0.2222222222222222,0.5555555555555556,0.2132430102391496,0.019943019943019943,0.6923076923076923,0.04221189305779596
NG,9,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115057'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2017, 2, 24, 15, 57)]",2017-02-24 15:57:00,2017-02-24 15:57:00,180.0,0.0,0.0,0.0,0.07407407407407407,0.12185777272756292,0.0,0.0,0.17806219918302654,0.023146793009453603,0.07407407407407407,0.0,0.4074074074074074,0.16062812651781164,0.0,0.627906976744186,0.031221520619419994
Pavel Paták,25,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115274'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 17)}",1.0,"[datetime.datetime(2017, 3, 23, 9, 13)]",2017-03-23 09:13:00,2017-03-23 09:13:00,192.85714285714286,0.0,0.0,0.0,0.037037037037037035,0.10029926628752561,0.0,0.0,0.16187473050229848,0.016243305218346677,0.037037037037037035,0.0,0.037037037037037035,0.017374413837335147,0.0,0.5,0.007972743974459611
Ron Aharoni,19,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115078'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2017, 2, 25, 18, 18)]",2017-02-25 18:18:00,2017-02-25 18:18:00,205.71428571428572,1.0,1.0,1.0,0.1111111111111111,0.10630180284461402,0.03133903133903134,0.3333333333333333,0.1756552481358535,0.028788562705610452,0.07407407407407407,0.037037037037037035,0.4074074074074074,0.16062812651781164,0.0,0.627906976744186,0.031221520619419994
ShiraZ,11,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115096'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1)}",1.0,"[datetime.datetime(2017, 2, 26, 20, 53)]",2017-02-26 20:53:00,2017-02-26 20:53:00,218.57142857142858,3.0,1.0,3.0,0.037037037037037035,0.0,0.0,0.2660706683695189,0.1317297751642961,0.012552203507655846,0.0,0.037037037037037035,0.5185185185185185,0.21142514704334336,0.0,0.675,0.03789779973547138
Tamás Király,21,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115355'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 8)}",1.0,"[datetime.datetime(2017, 4, 6, 9, 8)]",2017-04-06 09:08:00,2017-04-06 09:08:00,231.42857142857144,3.0,1.0,3.0,0.1111111111111111,0.16066013580480742,0.0,0.3333333333333333,0.1853035836180481,0.028245685207372518,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.050778807506395476,0.0,0.5294117647058824,0.012721247962083944
Thomas Sauvaget,13,133.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['comment-115050', 'comment-115051']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0)}",2.0,"[datetime.datetime(2017, 2, 24, 8, 22), datetime.datetime(2017, 2, 24, 10, 4)]",2017-02-24 08:22:00,2017-02-24 10:04:00,244.2857142857143,1.0,1.0,0.0,0.1111111111111111,0.12776016832625875,0.0,0.0,0.17986080548495176,0.10824217400530212,0.07407407407407407,0.037037037037037035,0.4074074074074074,0.16062812651781164,0.0,0.627906976744186,0.031221520619419994
